Year,Month,scenario,variable
1991,1,historical,34.03510284
1991,2,historical,34.17738724
1991,3,historical,34.22873306
1991,4,historical,34.22577667
1991,5,historical,34.26962662
1991,6,historical,34.28369141
1991,7,historical,34.27031708
1991,8,historical,34.30866623
1991,9,historical,34.27224731
1991,10,historical,34.10914612
1991,11,historical,34.01493073
1991,12,historical,33.89778519
1992,1,historical,34.03510284
1992,2,historical,34.17738724
1992,3,historical,34.22873306
1992,4,historical,34.22577667
1992,5,historical,34.26962662
1992,6,historical,34.28369141
1992,7,historical,34.27031708
1992,8,historical,34.30866623
1992,9,historical,34.27224731
1992,10,historical,34.10914612
1992,11,historical,34.01493073
1992,12,historical,33.89778519
1993,1,historical,34.03510284
1993,2,historical,34.17738724
1993,3,historical,34.22873306
1993,4,historical,34.22577667
1993,5,historical,34.26962662
1993,6,historical,34.28369141
1993,7,historical,34.27031708
1993,8,historical,34.30866623
1993,9,historical,34.27224731
1993,10,historical,34.10914612
1993,11,historical,34.01493073
1993,12,historical,33.89778519
1994,1,historical,33.59997559
1994,2,historical,33.658638
1994,3,historical,33.88850021
1994,4,historical,33.69305038
1994,5,historical,33.63783264
1994,6,historical,33.71754456
1994,7,historical,33.73474884
1994,8,historical,33.84863663
1994,9,historical,33.97430038
1994,10,historical,33.97280502
1994,11,historical,34.02967834
1994,12,historical,34.01016617
1995,1,historical,33.8312149
1995,2,historical,33.59519196
1995,3,historical,33.73513412
1995,4,historical,33.54699326
1995,5,historical,33.50559235
1995,6,historical,33.36201859
1995,7,historical,33.42502213
1995,8,historical,33.47072983
1995,9,historical,33.57783508
1995,10,historical,33.65922928
1995,11,historical,33.84951019
1995,12,historical,33.91909409
1996,1,historical,33.89339066
1996,2,historical,34.00012207
1996,3,historical,34.0649147
1996,4,historical,34.13711929
1996,5,historical,34.11873627
1996,6,historical,34.03769302
1996,7,historical,34.01594925
1996,8,historical,34.05588531
1996,9,historical,34.03133011
1996,10,historical,34.09740448
1996,11,historical,34.1283226
1996,12,historical,33.95823288
1997,1,historical,33.90837097
1997,2,historical,33.9315567
1997,3,historical,33.87866211
1997,4,historical,33.93441772
1997,5,historical,34.01461411
1997,6,historical,34.05524445
1997,7,historical,33.89349365
1997,8,historical,33.88487244
1997,9,historical,33.99922943
1997,10,historical,34.0630722
1997,11,historical,34.13584518
1997,12,historical,34.16733551
1998,1,historical,34.09864426
1998,2,historical,34.11320877
1998,3,historical,34.05569077
1998,4,historical,34.02495193
1998,5,historical,34.0048027
1998,6,historical,34.04520035
1998,7,historical,34.10194397
1998,8,historical,34.16366959
1998,9,historical,34.09835815
1998,10,historical,34.07688904
1998,11,historical,33.7979126
1998,12,historical,33.83863449
1999,1,historical,33.95677185
1999,2,historical,33.9222374
1999,3,historical,33.57247543
1999,4,historical,33.76971817
1999,5,historical,33.78264618
1999,6,historical,33.76535416
1999,7,historical,33.78912354
1999,8,historical,33.87605286
1999,9,historical,33.98737717
1999,10,historical,34.0982666
1999,11,historical,34.10119247
1999,12,historical,34.0382309
2000,1,historical,33.82469559
2000,2,historical,33.93315506
2000,3,historical,33.76912689
2000,4,historical,33.70808792
2000,5,historical,33.72618484
2000,6,historical,33.8119545
2000,7,historical,33.76086044
2000,8,historical,33.72042084
2000,9,historical,33.78920364
2000,10,historical,33.86749268
2000,11,historical,33.89374924
2000,12,historical,33.93636703
2001,1,historical,33.86354065
2001,2,historical,33.6280098
2001,3,historical,33.45728683
2001,4,historical,33.20751953
2001,5,historical,33.16411972
2001,6,historical,33.30596542
2001,7,historical,33.43336105
2001,8,historical,33.59800339
2001,9,historical,33.63177109
2001,10,historical,33.61291504
2001,11,historical,33.68806839
2001,12,historical,33.5359726
2002,1,historical,33.51272964
2002,2,historical,33.48214722
2002,3,historical,33.33031464
2002,4,historical,33.35798645
2002,5,historical,33.5458107
2002,6,historical,33.7075386
2002,7,historical,33.82643127
2002,8,historical,33.81051636
2002,9,historical,33.89489746
2002,10,historical,33.9300499
2002,11,historical,33.70886612
2002,12,historical,33.74666977
2003,1,historical,33.43157578
2003,2,historical,33.32706833
2003,3,historical,33.54818344
2003,4,historical,33.63260269
2003,5,historical,33.78284073
2003,6,historical,33.8603363
2003,7,historical,33.91962433
2003,8,historical,34.05791473
2003,9,historical,34.23373032
2003,10,historical,34.30402756
2003,11,historical,34.31523895
2003,12,historical,34.2169075
2004,1,historical,33.93339157
2004,2,historical,33.73314667
2004,3,historical,33.75580215
2004,4,historical,33.83773422
2004,5,historical,33.85136032
2004,6,historical,33.90872955
2004,7,historical,33.94543076
2004,8,historical,33.93529129
2004,9,historical,34.03391647
2004,10,historical,34.14590836
2004,11,historical,34.12244797
2004,12,historical,34.05579376
2005,1,historical,34.12356949
2005,2,historical,34.01002884
2005,3,historical,33.97642899
2005,4,historical,33.88002014
2005,5,historical,33.86997223
2005,6,historical,33.90979767
2005,7,historical,33.88289642
2005,8,historical,33.94938278
2005,9,historical,33.96038437
2005,10,historical,34.01538086
2005,11,historical,34.134758
2005,12,historical,34.12889862
2006,1,historical,34.08085251
2006,2,historical,34.10144424
2006,3,historical,33.98751068
2006,4,historical,33.7386055
2006,5,historical,33.78433609
2006,6,historical,33.76623535
2006,7,historical,33.92495346
2006,8,historical,34.06190872
2006,9,historical,34.03528976
2006,10,historical,34.05191803
2006,11,historical,34.12975311
2006,12,historical,34.17272186
2007,1,historical,34.15790176
2007,2,historical,34.07720947
2007,3,historical,33.97577667
2007,4,historical,33.96805573
2007,5,historical,34.00613785
2007,6,historical,33.90481567
2007,7,historical,33.83797836
2007,8,historical,33.71976471
2007,9,historical,33.74966812
2007,10,historical,33.68618393
2007,11,historical,33.72105789
2007,12,historical,33.56658173
2008,1,historical,33.73688507
2008,2,historical,33.87597656
2008,3,historical,33.861763
2008,4,historical,33.64220428
2008,5,historical,33.67543793
2008,6,historical,33.70875168
2008,7,historical,33.89048767
2008,8,historical,33.99121857
2008,9,historical,34.07050705
2008,10,historical,34.07233047
